year,ship,week,quar,hpsegment2,gear,TRIPNR,w_total,w_hour
1999,GO28,39,3,Groot,non-pulse,3,57.9782306054,0.8156374762999999
1999,UK47,47,4,Groot,non-pulse,4,11.5871814104,0.1508093026
2000,GO58,23,2,Euro,non-pulse,14,6.2172642709999995,0.0788325985
2000,GO6,10,1,Groot,non-pulse,6,1.6670613366,0.0186437428
2000,HD225,15,2,Groot,non-pulse,9,17.063234624,0.2300660848
2000,HD7,25,2,Groot,non-pulse,15,24.9473906363,0.30269836969999997
2000,KW42,27,3,Groot,non-pulse,16,10.195905729,0.1399895523
2000,TX37,13,1,Groot,non-pulse,8,16.790309834600002,0.2216542552
2000,TX41,19,2,Euro,non-pulse,12,29.5359209887,0.4219417284
2001,HD65,14,2,Euro,non-pulse,26,98.7488439296,1.1993786712
2001,TX38,8,1,Groot,non-pulse,23,37.3541219933,0.5317312739
2003,GO22,3,1,Groot,non-pulse,37,6.4370874019,0.118655989
2003,GO44,23,2,Groot,non-pulse,45,2.0834382594,0.0311736398
2003,TX36,33,3,Groot,non-pulse,48,0.3138089303,0.0046318661
2004,OD1,34,3,Groot,non-pulse,57,6.6859339414,0.1027288186
2004,TX43,42,4,Groot,non-pulse,58,32.526980733100004,0.4570535935
2004,WR244,32,3,Euro,non-pulse,56,13.3062580204,0.1737487446
2005,UK153,44,4,Groot,pulse,1401,7.0087635747,0.0836035416
2006,UK153,5,1,Groot,pulse,1402,11.8394126092,0.1406662884
2006,UK153,9,1,Groot,pulse,1403,8.2180064677,0.1307905539
2006,UK153,11,1,Groot,pulse,1404,3.5074128681,0.0583596151
2006,WR244,38,3,Euro,non-pulse,78,40.428185508,2.9581599152
2007,GO26,17,2,Groot,non-pulse,83,0.2580853493,0.0032060292
2008,TX19,17,2,Groot,non-pulse,97,8.1605949283,0.0971499396
2008,TX38,41,4,Groot,non-pulse,104,56.7597497089,0.777530818
2009,TX29,20,2,Groot,non-pulse,109,12.234065899,0.1621838166
2012,HD22,5,1,Groot,pulse,703.1,28.366739586599998,0.2077642059
2012,OD50,39,3,Euro,non-pulse,709.1,28.9405878168,0.4209540046
2012,TH10,48,4,Euro,pulse,711.1,13.718096901300001,0.18010630509999997
2012,TX29,11,1,Groot,non-pulse,705.1,34.06460418,0.5009500615
2013,OD6,10,1,Groot,non-pulse,770.1,69.612130115,0.8165645761
2013,WR244,22,2,Euro,non-pulse,765.1,12.352430602,0.2774787855
2014,HD22,49,4,Groot,pulse,1034.1,54.2530856044,0.4238522313
2014,TH10,17,2,Euro,pulse,937.1,15.107783465,0.2453226002
2014,TH7,43,4,Euro,pulse,1035.1,13.979780529,0.5591912211
2014,TX29,5,1,Groot,non-pulse,905.1,72.38288866799999,0.9503223895
2015,OD50,24,2,Euro,pulse,1123.1,9.1032472095,0.11835207639999999
2015,OD6,11,1,Groot,pulse,1078,27.5488409713,0.3804212792
2015,TH7,51,4,Euro,pulse,1234.1,81.0380270872,1.1440662647
2015,TX29,6,1,Groot,non-pulse,1067.1,13.828063985,0.1966075448
2015,UK158,50,4,Euro,pulse,1233.1,5.8740948164999995,0.1069637903
2015,UK33,19,2,Groot,pulse,1111.1,5.9919206455000005,0.08652593
2015,UK45,15,2,Groot,pulse,1096,7.1468518316,0.1060101631
2016,GO31,11,1,Groot,pulse,1267.1,114.9200344883,1.5254871835000001
2016,GO48,6,1,Groot,pulse,1241.1,56.138707021799995,0.930475807
2016,TH10,8,1,Euro,pulse,1254.1,104.896996674,1.4080133781
2016,TX29,19,2,Groot,non-pulse,1294.1,8.2856057131,0.1092607347
2016,UK284,49,4,Groot,non-pulse,1393.1,246.615068525,2.6991798818
2016,UK33,41,4,Groot,pulse,1363.1,136.036551055,1.7459236499
2016,UK45,25,2,Groot,pulse,1313.1,605.5116667045,8.3518850582
2016,UK64,47,4,Groot,non-pulse,1385.1,860.57366486,9.9011351662
