year,PGM_CODE,prog,ship,POWER,metier,TOR_CODE,week,quar,TRIPNR,duration_meas,duration_tot,SCIENTIFIC_NAME,ENGLISH_NAME,DUTCH_NAME,ICES_CODE,nodc,class_length,SSE_CATEGORY,GEAR_SUBTYPE,GEAR_COUNT,w_soort_meashauls,n_per_hour,n_total_trip,w_per_hour,w_total_trip,hpsegment2,gear
2010,DISBT,self sampling,GO28,2170,TBB_DEF_70-99,Boomkor12w,11,1,213,200,4300,Scophthalmus maximus,Turbot,Tarbot,TUR,885703e6,20,d,NA,2,0.590236819,1.173913044,84.13043478,0.177071046,12.6900916,Groot,non-pulse
2010,DISBT,self sampling,GO28,2170,TBB_DEF_70-99,Boomkor12w,11,1,213,200,4300,Scophthalmus maximus,Turbot,Tarbot,TUR,885703e6,23,d,NA,2,1.27321227,1.65,118.25,0.381963681,27.3740638,Groot,non-pulse
2010,DISBT,self sampling,HD22,1470,TBB_DEF_70-99,Boomkor12w,31,3,248,225,5120,Scophthalmus maximus,Turbot,Tarbot,TUR,885703e6,21,d,NA,2,2.189246903,3.333333333,284.4444444,0.583799174,49.81752953,Groot,non-pulse
2010,DISBT,self sampling,OD50,221,TBB_DEF_70-99,Boomkor04w,9,1,266,270,4470,Scophthalmus maximus,Turbot,Tarbot,TUR,885703e6,24,d,NA,2,0.628130989,0.529100444,39.41798311,0.139584664,10.39905748,Euro,non-pulse
2010,DISBT,self sampling,OD50,221,TBB_DEF_70-99,Boomkor04w,14,2,267,295,2925,Scophthalmus maximus,Turbot,Tarbot,TUR,885703e6,20,d,NA,2,0.150838298,0.203389831,9.915254237,0.030678976,1.495600074,Euro,non-pulse
2010,DISBT,self sampling,OD50,221,TBB_DEF_70-99,Boomkor04w,14,2,267,295,2925,Scophthalmus maximus,Turbot,Tarbot,TUR,885703e6,21,d,NA,2,1.225978266,1.423728814,69.40677966,0.249351512,12.1558862,Euro,non-pulse
2010,DISBT,self sampling,OD50,221,TBB_DEF_70-99,Boomkor04w,14,2,267,295,2925,Scophthalmus maximus,Turbot,Tarbot,TUR,885703e6,22,d,NA,2,1.009899193,1.016949153,49.57627119,0.205403226,10.01340725,Euro,non-pulse
2010,DISBT,self sampling,OD50,221,TBB_DEF_70-99,Boomkor04w,14,2,267,295,2925,Scophthalmus maximus,Turbot,Tarbot,TUR,885703e6,23,d,NA,2,0.69447942,0.610169492,29.74576271,0.141250052,6.88594001,Euro,non-pulse
2010,DISBT,self sampling,OD50,221,TBB_DEF_70-99,Boomkor04w,17,2,268,270,4244,Scophthalmus maximus,Turbot,Tarbot,TUR,885703e6,22,d,NA,2,0.403959677,0.444444444,31.43703704,0.089768817,6.349647666,Euro,non-pulse
2010,DISBT,self sampling,OD50,221,TBB_DEF_70-99,Boomkor04w,30,3,270,245,5060,Scophthalmus maximus,Turbot,Tarbot,TUR,885703e6,17,d,NA,2,0.146932614,0.391836735,33.04489796,0.035983497,3.034608266,Euro,non-pulse
2010,DISBT,self sampling,OD50,221,TBB_DEF_70-99,Boomkor04w,30,3,270,245,5060,Scophthalmus maximus,Turbot,Tarbot,TUR,885703e6,19,d,NA,2,0.135728206,0.257787429,21.74007314,0.033239561,2.803202951,Euro,non-pulse
2010,DISBT,self sampling,OD50,221,TBB_DEF_70-99,Boomkor04w,30,3,270,245,5060,Scophthalmus maximus,Turbot,Tarbot,TUR,885703e6,20,d,NA,2,0.241341277,0.391836735,33.04489796,0.059103986,4.984436169,Euro,non-pulse
2010,DISBT,self sampling,OD50,221,TBB_DEF_70-99,Boomkor04w,30,3,270,245,5060,Scophthalmus maximus,Turbot,Tarbot,TUR,885703e6,22,d,NA,2,0.425220883,0.515574857,43.48014629,0.104135726,8.782112928,Euro,non-pulse
2010,DISBT,self sampling,OD50,221,TBB_DEF_70-99,Boomkor04w,40,4,271,270,5570,Scophthalmus maximus,Turbot,Tarbot,TUR,885703e6,20,d,NA,2,0.471369832,0.694444667,64.46761322,0.104748852,9.724185061,Euro,non-pulse
2010,DISBT,self sampling,OD50,221,TBB_DEF_70-99,Boomkor04w,40,4,271,270,5570,Scophthalmus maximus,Turbot,Tarbot,TUR,885703e6,21,d,NA,2,0.547311901,0.694444667,64.46761322,0.121624867,11.29084181,Euro,non-pulse
2010,DISBT,self sampling,OD50,221,TBB_DEF_70-99,Boomkor04w,40,4,271,270,5570,Scophthalmus maximus,Turbot,Tarbot,TUR,885703e6,22,d,NA,2,1.17821586,1.296296444,120.3395199,0.261825747,24.30615681,Euro,non-pulse
2010,DISBT,self sampling,OD50,221,TBB_DEF_70-99,Boomkor04w,40,4,271,270,5570,Scophthalmus maximus,Turbot,Tarbot,TUR,885703e6,23,d,NA,2,0.482277529,0.462963111,42.97840882,0.107172784,9.949206806,Euro,non-pulse
2010,DISBT,self sampling,OD50,221,TBB_DEF_70-99,Boomkor04w,40,4,271,270,5570,Scophthalmus maximus,Turbot,Tarbot,TUR,885703e6,24,d,NA,2,0.824422318,0.694444667,64.46761322,0.18320496,17.00752709,Euro,non-pulse
2010,DISBT,self sampling,OD50,221,TBB_DEF_70-99,Boomkor04w,48,4,272,240,2140,Scophthalmus maximus,Turbot,Tarbot,TUR,885703e6,21,d,NA,2,0.557262848,0.795454546,28.37121212,0.139315712,4.968927062,Euro,non-pulse
