2018
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"1",5069.59789424712,0.2,0,0,0,0.253788666666667,0.00406211059607667,0.262976333333333
"2",4876.417910427,0.2,0.04,0,0,0.544819666666667,0.220913966329348,0.564543333333333
"3",1687.86699007021,0.2,0.47,0,0,0.941069333333333,0.405921497393667,0.975138666666667
"4",2729.43526747437,0.2,0.95,0,0,1.42307666666667,0.446669562298045,1.47459666666667
"5",788.443550119521,0.2,1,0,0,1.96819333333333,0.355068666678543,2.03944666666667
"6",242.851529902585,0.2,1,0,0,2.55423666666667,0.268671580947469,2.64670666666667
"7",202.300146210845,0.2,1,0,0,3.16138333333333,0.215987272871795,3.27583333333333
"8",306.413224497961,0.2,1,0,0,3.77302,0.161401327734329,3.90961
"9",344.868232064433,0.2,1,0,0,4.79252384794186,0.161401327734329,4.96602518877362
""
2019
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"1",5069.59789424712,0.2,0,0,0,0.253788666666667,0.00406211059607667,0.262976333333333
"2",-,0.2,0.04,0,0,0.544819666666667,0.220913966329348,0.564543333333333
"3",-,0.2,0.47,0,0,0.941069333333333,0.405921497393667,0.975138666666667
"4",-,0.2,0.95,0,0,1.42307666666667,0.446669562298045,1.47459666666667
"5",-,0.2,1,0,0,1.96819333333333,0.355068666678543,2.03944666666667
"6",-,0.2,1,0,0,2.55423666666667,0.268671580947469,2.64670666666667
"7",-,0.2,1,0,0,3.16138333333333,0.215987272871795,3.27583333333333
"8",-,0.2,1,0,0,3.77302,0.161401327734329,3.90961
"9",-,0.2,1,0,0,4.79252384794186,0.161401327734329,4.96602518877362
""
2020
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"1",5069.59789424712,0.2,0,0,0,0.253788666666667,0.00406211059607667,0.262976333333333
"2",-,0.2,0.04,0,0,0.544819666666667,0.220913966329348,0.564543333333333
"3",-,0.2,0.47,0,0,0.941069333333333,0.405921497393667,0.975138666666667
"4",-,0.2,0.95,0,0,1.42307666666667,0.446669562298045,1.47459666666667
"5",-,0.2,1,0,0,1.96819333333333,0.355068666678543,2.03944666666667
"6",-,0.2,1,0,0,2.55423666666667,0.268671580947469,2.64670666666667
"7",-,0.2,1,0,0,3.16138333333333,0.215987272871795,3.27583333333333
"8",-,0.2,1,0,0,3.77302,0.161401327734329,3.90961
"9",-,0.2,1,0,0,4.79252384794186,0.161401327734329,4.96602518877362
""
